,gencod,DESIGNATION : PRODUITS - POIDS,PCB,POIDS,Tarif général,remise,tarif net facturé,Pièce,DLUO
BOUCHERIES ANDRE,3770000994766,BOUCHON Piment Espelette kg,4,,"22,27","5,00%","21,16",Kg,45j
BOUCHERIES ANDRE,3770000994773,BOUCHON Tomate Origan Ail  kg,4,,"22,27","5,00%","21,16",Kg,45j
BOUCHERIES ANDRE,3770000994742,BOUCHON Saveurs Méditéranéenne kg,4,,"22,27","5,00%","21,16",Kg,45j
BOUCHERIES ANDRE,3770000994605,BOUCHON AIL ET FINES HERBES KG,4,,"22,27","5,00%","21,16",Kg,45j
BOUCHERIES ANDRE,3770000994469,BOUCHON VIN BLANC KG,4,,"22,27","5,00%","21,16",Kg,45j
BOUCHERIES ANDRE,3770000994049,RIGOTTE X 3 100 GR x 16,16,,"2,27","10,50%","2,03",Pièce,60J
BOUCHERIES ANDRE,3770000994476,RIGOTTE affiné kg,4,,"16,5","17,00%","13,7",kg,60j
BOUCHERIES ANDRE,3770000994247,RIGOTTE FRAICHE Pc x 48,48,,"0,64","16,00%","0,54",Pièce,30J
BOUCHERIES ANDRE,3770000994674,PETIT FRAIS NATURE X 3 COQUE,6,,"2,15","9,50%","1,95",Pièce,20J
BOUCHERIES ANDRE,3770000994339,PETIT FRAIS X 3 COQUE (Oignon/ Ail et fines herbes/ Tomate origan),6,,"2,48","9,40%","2,25",Pièce,20J
BOUCHERIES ANDRE,3770000994513,Cervelle de canut 180 gr,6,,"2,07","20,00%","1,66",Pièce,60J
BOUCHERIES ANDRE,3770000994148,FROMAGE FORT 250 gr x 12,12,,"2,71","19,60%","2,17",Pièce,60J
BOUCHERIES ANDRE,3770000994414,SECHON 120 GR X 12,12,,"1,96","23,00%","1,51",Pièce,60J
BOUCHERIES ANDRE,3770000994445,ST FELICIEN NU 180 GR X 9,9,,"1,91","0,00%","1,91",Pièce,30j
BOUCHERIES ANDRE,3770000994100,ST FELICIEN / COQUE X 6,6,,"2,12","5,30%","2,01",Pièce,30j
BOUCHERIES ANDRE,3770000994162,Faisselle Lot 4 X150G ,1,,"2,46","0,00%","2,46",pièce,20J
BOUCHERIES ANDRE,3770000994964,YAOURT FERMIER BRASSE NATURE POT  VERRE 125G,6,,"0,65","17,00%","0,54",pièce,20J
BOUCHERIES ANDRE,3770000994315,YAOURT FERMIER BRASSE NATURE POT  VERRE 500G,6,,"2,6","17,00%","2,16",Pièce,20J
BOUCHERIES ANDRE,3770000994957,FROMAGE BLANC POT DE 500G,1,,"2,93","17,00%","2,43",pièce,20J
DISTRAL ,3770000994070,BOUCHON NATURE 5KG,1,5,"16,71","0,02","16,38",Kg,45j
DISTRAL ,3770000994421,BOUCHON EPICE 5KG,1,5,"18,49","0,02","18,12",Kg,45j
DISTRAL ,3770000994360,BOUCHON SAVEURS MEDITERRANEE 5KG,1,5,"18,49","0,02","18,12",KG,45J
DISTRAL ,3770000994254,BOUCHON TOMATE ORIGAN 5KG,1,5,"18,49","0,02","18,12",Kg,45j
DISTRAL ,3770000994001,REGAL NU X 9 BOIS,9,"0,2","2,24","0,02","2,2",pièce,30J
DISTRAL ,3770000994056,REGAL / COQUE x 6,6,"0,2","2,57","0,02","2,52",pièce,30J
DISTRAL ,3770000994049,RIGOTTE X 3 100 GR x 16,16,"0,1","2,03","0,02","1,99",Pièce,60J
DISTRAL ,3770000994247,RIGOTTE FRAICHE Pc x 48,48,"0,05","0,54","0,02","0,53",Pièce,30J
DISTRAL ,3770000994674,PETIT FRAIS NATURE X 3 COQUE,6,"0,15","1,99","0,02","1,95",Pièce,30J
DISTRAL ,3770000994339,PETIT FRAIS X 3 COQUE (Oignon/ Ail et fines herbes/ Tomate origan),6,"0,15","2,3","0,02","2,25",Pièce,30J
DISTRAL ,3770000994148,FROMAGE FORT 250 gr x 12,12,"0,25","2,17","0,02","2,13",Pièce,60J
DISTRAL ,3770000994513,Cervelle de canut 180 gr,6,"0,25","1,66","0,02","1,63",Pièce,60J
DISTRAL ,3770000994414,SECHON 120 GR X 12,12,"0,12","1,51","0,02","1,48",Pièce,60J
DISTRAL ,3770000994445,ST FELICIEN NU 180 GR X 9,9,"0,18","1,81","0,02","1,77",Pièce,30j
DISTRAL ,3770000994100,ST FELICIEN / COQUE X 6,6,"0,18","2,12","0,02","2,08",Pièce,30j
DISTRAL ,3770000994162,Faisselle Lot 4 X150G ,1,"0,15","2,46","0,02","2,41",pièce,20J
DISTRAL ,3770000994452,GROS ROMAN / KG,4,"0,5","10,48","0,02","10,27",Kg,24J
DISTRAL ,3770000994537,DOMBISTE,4,"0,45","10,36","0,02","10,15",Kg,45j
DISTRAL ,3770000994018,BOUCHON NATURE 100 GR x 10,10,"0,1","2,24","0,02","2,2",Pièce,45j
DISTRAL ,3770000994025,BOUCHON EPICE 100 GR x 10,10,"0,1","2,34","0,02","2,29",Pièce,45j
DISTRAL ,3770000994636,BOUCHON AIL ET FINES HERBES 100 GR x 10,10,"0,1","2,34","0,02","2,29",Pièce,45j
DISTRAL ,3770000994216,BOUCHON VIN BLANC 100 GR x 10,10,"0,1","2,34","0,02","2,29",Pièce,45j
DISTRAL ,3770000994759,BOUCHON Ail des ours  100 GR x 10,10,"0,1","2,34","0,02","2,29",Pièce,45j
DISTRAL ,3770000994681,BOUCHON Piment Espelette 100 GR x 10,10,"0,1","2,34","0,02","2,29",Pièce,45j
DISTRAL ,3770000994711,BOUCHON Tomate Origan Ail 100 GR x 10,10,"0,1","2,34","0,02","2,29",Pièce,45j
DISTRAL ,3770000994735,BOUCHON Saveurs Méditéranéenne 100 GR x 10,10,"0,1","2,34","0,02","2,29",Pièce,45j
DISTRAL ,3770000994964,YAOURT FERMIER BRASSE NATURE POT  VERRE 125G,6,"0,125","0,54","0,02","0,53",Pièce,30J
DISTRAL ,3770000994957,FROMAGE BLANC POT DE 500G,1,"0,5","2,43","0,02","2,38",Pièce,30J
DISTRAL ,3770000994209,FROMAGE FORT SEAUX 2KG,1,"7,88",,"0,02","7,72",kg,45J
DISTRAL ,3770000994513,CERVELLE DE CANUT 2kg,1,"8,4",,"0,02","8,23",kg,20J
DISTRAL ,3770000994612,DELICE CHAMPETRE 2kg,1,"8,4",,"0,02","8,23",kg,20J
